AGE	SEXE	REGION	STAT_MARI	SAL_HOR	SYNDICAT	CATEGORIE	NIV_ETUDES	NB_PERS	NB_ENF	REV_FOYER
60	F	NE	M	23.00	non	5	39	2	0	14
38	F	S	S	13.00	non	3	40	4	1	3
54	M	S	M	16.00	oui	2	42	2	0	15
57	M	S	M	26.85	non	8	39	2	0	8
28	M	S	C	12.00	oui	5	39	3	0	14
32	M	W	C	16.37	oui	3	40	2	0	11
20	F	W	C	15.00	non	2	40	3	0	15
37	F	NE	M	9.25	non	2	39	6	4	5
31	M	S	M	9.00	non	10	39	4	2	11
53	F	S	M	13.00	non	5	39	2	0	13
56	M	NW	M	21.50	oui	2	43	3	1	14
43	F	S	M	10.00	non	2	43	5	3	15
37	F	NE	M	11.15	non	10	37	3	2	2
30	M	S	S	14.18	non	9	39	3	2	10
42	F	W	C	17.00	oui	2	42	3	2	7
30	M	NE	C	33.00	non	2	46	5	0	16
28	F	S	M	90.00	non	3	41	5	0	12
61	M	W	M	28.10	non	1	40	4	0	12
52	M	NE	C	19.52	oui	5	40	1	0	10
39	M	NW	C	17.00	non	5	40	1	0	9
48	M	NE	C	30.27	non	9	42	1	0	12
60	F	W	D	19.84	non	2	39	2	0	15
48	F	W	M	15.00	oui	5	43	3	0	11
54	F	W	V	14.00	non	5	42	2	0	8
47	F	W	M	37.50	oui	1	43	3	0	16
47	M	NE	M	24.00	non	5	40	2	0	14
56	M	S	M	26.00	non	9	39	2	0	12
24	F	W	C	17.50	non	1	43	2	0	12
51	M	NW	D	8.75	non	3	42	2	0	8
23	M	NW	D	8.00	non	7	40	3	0	16
21	F	S	C	11.00	non	4	40	4	1	8
56	F	S	D	15.95	non	4	43	2	0	13
47	M	NE	M	8.50	non	3	39	4	0	12
32	F	S	M	20.74	non	5	43	4	0	16
65	F	NE	M	20.00	non	5	39	2	0	14
22	M	NE	C	11.00	non	3	43	4	0	16
24	M	S	M	14.50	non	4	42	3	1	11
67	M	S	M	75.00	non	2	43	2	0	16
65	M	NW	M	17.50	non	1	42	1	0	8
21	F	S	C	10.00	non	2	40	2	0	1
27	F	NE	M	24.50	non	2	42	2	0	14
23	M	W	C	13.52	non	8	39	4	0	11
50	F	NE	D	13.00	non	3	39	2	1	8
32	F	S	D	17.00	non	5	43	1	0	11
24	F	W	C	10.58	non	6	43	8	0	14
61	M	NW	C	19.00	non	7	39	1	0	10
63	M	NE	M	10.50	non	4	40	2	0	13
51	F	S	M	29.80	non	2	42	2	0	14
29	F	NE	C	27.00	oui	1	43	2	0	15
57	F	NW	D	21.00	non	4	40	1	0	14
29	F	W	M	13.00	oui	5	39	6	4	11
47	M	S	C	14.50	non	4	39	1	0	12
